create_date,point_id,valid_from,valid_to,carrier,estimated_days,origin_country,origin_name,origin_code,destination_country,destination_name,destination_code,shipping_type,load_type,load_amount,price_usd
2024-02-01,19016400,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Lauro Carneiro De Loyola,SBJV,AIR,kg,100,380
2024-02-01,19016400,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Lauro Carneiro De Loyola,SBJV,AIR,kg,250,950
2024-02-01,19016400,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Lauro Carneiro De Loyola,SBJV,AIR,kg,300,1050
2024-02-01,19016400,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Lauro Carneiro De Loyola,SBJV,AIR,kg,500,1600
2024-02-01,19016400,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Lauro Carneiro De Loyola,SBJV,AIR,kg,750,2400
2024-02-01,19016400,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Lauro Carneiro De Loyola,SBJV,AIR,kg,1000,3000
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,25,97.5
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,45,175.5
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,100,380
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,250,950
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,300,1050
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,500,1600
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,750,2400
2024-02-01,19016398,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Santa Genoveva,SBGO,AIR,kg,1000,3000
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,25,85
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,45,153
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,100,215
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,250,537.5
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,300,630
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,500,1000
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,750,1500
